isim,tel,adres
Oses Cig Kofteci Osman Usta,6746908,Kamil Cad. No:54/B
Hazan Cig Kofte,6425961,Camlik Mah. Sahinbey Cad. No:46
Damak Tat Cig Kofte,6930026,Camlik Mah. Sahinbey Cad. No:13/A
Emek Bufe,2366125,Dikilitas Mah. Emirhan Cad. No:84 D:7
Yenilesi Yemekler,3585865,"Otlukbeli Cad. Arnavutköy Yolu Hareket Sitesi D:44 Etiler, Beşiktaş"
Hanim-Eli,2369378,Dikilitas Mah. Emirhan Cad. Alkok Apt. No:82/D
Elgun Cafe & Ev Yemekleri,2592023,Dikilitas Mah. Emirhan Cad. Yuva Apt. No:64 D:8
Yeni Mersin Tantuni,4468802,"Göztepe Mah. Kazım Karabekir Cad. No:2 Demirkapı, Bağcılar"
Yeşil Ilgaz Köfte Salonu,5825254,"Asım Kazancıgil Cad. No:34 Zeytinburnu Merkez, Zeytinburnu"
Kule Tabldot,0212 243 7213,Hacımimi Mah. Lüleci Hendek Cad. No:49
Üçler Akçaabat Köfte,3351205,"Atatürk Mah. Alemdağ Cad. Yeşil Sok. No:3 Atatürk, Ümraniye"
Umut Döner,5758407,"Kayışdağı Cad. No:108 Kayışdağı, Ataşehir"
Kinali Bufe,2330607,Halaskargazi Cad. Matbaaci Osman Bey Sok. No:6 D:3
Fasil Bufe,2279030,Cihannuma Mah. Yildiz Cad. No:32
Lazora Cafe,2616032,Yildiz Cad. No:50 D:7
Akkaya Gida,2610292,Yildiz Mah. Yildiz Cad. No:57/A
Uğur Ev Yemekleri,2598078,Ortaklar Cad. Yeşil Çimen Sok. No:6
Tıkıntı,6723810,"Süleyman Demirel Cad. Sunflower Life Center K:3 D:79 Esenyurt, Esenyurt"
Çayeli Kurufasulye Ve Köfte Salonu,02125937058,Cihangir Mah. Ahmet Taner Kışlalı Cad No:26
Küplüce Köftecisi,0216 557 6645 ,Beylerbeyi Mah. Cennet Cami Sok. No:3/A
Onder Kardes Restaurant,2588296,Koyici Cad. No:19
Çebi Restaurant,+90 212 530 6162,Koca Mustafa Paşa Mah. Nafiz Gürman Cad. No:193/A
Tatlıses Çiğ Köfte,5808079,"Atatürk Mah. Turgut Özal Bulv. Ataşehir Merkez, Ataşehir"
Yeni Amber Kebap Salonu,2301089,"Cumhuriyet Cad. İzzet Paşa Sok. No:10/A Osmanbey, Şişli"
Cemiloğlu Restaurant,5078012,Merkez Mah. Soğanlı Cad. No:3
Yeni Yol Çiğköftecisi,5587405,"Telsiz Mah. 85. Sok. No:32 Telsiz, Zeytinburnu"
Koftecim,4893829,Merkez Mah. Arif Aga Sok. No:16 D:2
Domino's Pizza,5150077,Hurriyet Mah. Ataturk Cad. No:11 D:3
Umut Tas Firin,5758980,Kayisdagi Yolu No:48
Cag Kebapci Davut Usta,4196894,Mehmet Akif Mah. Pinarbasi Sok. No:4
Cizbiz Kofte,4504444,Rihtim Cad. Ulsel Is Markezi No:18/A
Kanatci Yucel Usta,5775050,Karsli Ahmet Cad. No:28
Kirkpinar Edirne Koftecisi,5408545,Adnan Kahveci Bulv. CarrefourSA K:3 D:215
Milano's Bistro,6884344,Karanfil Sok. No:6
Subway,3461762,Maslak Mah. G45 Ahi Evren Cad. Dogus Power Center No:4 K:1 D:21
Haci Bozan Ogullari,2251646,Kurtulus Cad. No:37/A
Cafelli,5723838,Sakizagaci Mah. Kennedy Cad. No:35
Ada Bufe,905325769460,cennet Mah genc Osman Sok
Pirlanta Bufe,2405991,Halaskargazi Cad. Etfal Sok. No:22
Sivas Köfte ve Kebap Evi,6093663,"Hürriyet Mah. Beşyüzevler Cad. 280. Sok. No:1/A Küçükköy, Gaziosmanpaşa"
MH Gıda,2664548,"Balmumcu Mah. Morbasan Sok. No:2/A Gayrettepe, Beşiktaş"
Bey Dürüm,6112597,"Saray Sok. No:1 Ihlamurkuyu, Ümraniye"
Annem Ev Yemekleri,8763331,Bakırcılar Ve Pirinçciler Sanayi Sitesi Açelya Cad. Tgar Çarşısı No:116
Bolulu Hasan Usta Süt Tatlıları,3594454,"İstasyon Cad. No:55 D:2 Göztepe, Kadıköy"
Cendere Çiğ Köftecisi,5579382,Emniyet Mah. Fatih Sultan Mehmet Cad. No:2
Bolulu Hasan Usta Süt Tatlıları,5233535,Tepeüstü Mah. Alemdağ Cad. No:526/A Ümraniye Merkez
Balıkçı Coşkun,3202565,"İskele Meydanı No:4 D:1 Anadolukavağı, Beykoz"
Ta-Pi Land,8536313,Baris Mah. Zafer Cad. No:3
Mevlana Kebapcisi,4658450,Cobancesme Mevki E-5 Karayolu
Oz Ku,3445586,Kuyulu Orta Sok. No:3/A
Marmaris Soguk Sandvic,2323059,Haci Mansur Sok. Konak Carsisi No:1 D:3
Kuzudan Döner,0212 275 96 98,Kervan Geçmez Sok. D:14-B
Lazanya Restaurant,2416968,Kuyumcu Irfan Sok. No:21/A
Kofte 7 De 7 Kofte,2308886,Rumeli Cad. Zafer Sok. No:42/A
Yorem Iskender,3099343,Ayazma Cad. Onur Is Merkezi No:38
Cennet Dürüm Salonu,5807558,Cennet Mah. Hürriyet Cad. No:30
Korkmaz Kebap,4521170,Cumhuriyet Mah. Kartal Cad. Medine Sok. No:29/E
Meshur Kahramanmaras Kelle Paca,4523528,Orta Mah. Ataturk Cad. No:148
Cafe'de Bufe,3779100,Ataturk Cad. Nur Sok. No:182
Aykut Bufe,6710501,Manolya Cad. No:24/B
Bey Kebap,3771214,Manolya Cad. No:5
Fol, 413 6880,Burunbahce Mevki Agaclik Mesire Yeri Cubuklu Cad. Cubuklu Hayal Kahvesi No.18
Kodaman Ev Yemekleri,3431595,Mesrutiyet Mah. Madalyon Sok. No:42/A
Centat Çiğ Köfte,3142551,Merkez Ataşehir Merkez
Safari Restaurant Bar,4528866,Cumhuriyet Mah. Kartal Cad. No:41
Çeşminar Büfe,3557787,Erenköy Mah. Hatboyu Cad. No:26
Labella Premium,0212 222 7171 ,Darülücaze Cad. Ekşioğlu İş Merkezi No:15/A
Koftecim,3439466,Vali Konagi Cad. Kuyumcu Irfan Sok. No:14/A
L.A. Cafe,0216 347 26 26,Osmanağa Mah. Mürver Çiçeği Sok. No:15/A
Water Front Terrace Restaurant,4228000,Kuleli Cad. Sumahan On The Water Hotel No:51 K:Teras
Metro Restaurant,4787000,Kocman Cad. Metro Grossmarket
Ceylan Cafe Restaurant,2953350,Hamidiye Mah. Girne Cad. No:52
Sekmanoglu,3096865,Orta Mah. Ataturk Cad. No:148
A&F Cafe,6625251,"Yeşil Yalı Sok. No:1/A Yeşilköy, Bakırköy"
CM Noodle,386 9530,Beyaz Akasya Sokak No. 300/5 Caddebostan
Soganlik Pilav Evi,3096164,Gumuspinar Mah. Citlenbik Sok. No:1/B
Çiçek Izgara,6611074,6. Kısım Adnan Kahveci Bulv. Ataköy Plus Alışveriş Merkezi
Sushi Banchi,293 6732,Gumussuyu Mah. Inonu Cad. No. 22 Taksim
Köfteci Ramiz,6631198,"Barbaros Mah. Halk Cad. Palladium Alışveriş Merkezi No:8 K:3 D:306 Yeni Sahra, Ataşehir"
Turgutpasa Kebap Salonu,5171415,Yesilbaglar Mah. Turgut Pasa Cad. No:4
Çiftlik Restaurant,2742454,Eski Osmanlı Sok. No:3
Çiğdem Anadolu Mutfağı,3352313,Atakent Mah. Mithat Paşa Cad. No:79
Damla Yemek,3065373,Yali Mah. Baglar Cad. No:29 D:3
Cigerche,2964111,Cumhuriyet Cad. Rüya Apt. No:201/A
Seven Durum,3877747,Atalar Mah. Tekel Cad. Guzel Apt. B Blok No:76
Huzurum Büfe,4130504,Fatih Sultan Mehmet Cad. Gedikoğlu Plaza No:48/B
Guleryuz Durum,4734545,Kordonboyu Mah. Cinar Sok. No:14
Meshur Cig Kofteci,4935944,Orhan Gazi Mah. Cumhuriyet Cad. No:101
Bufe Kose,3531744,Kordonboyu Mah. Ankara Cad. No:89
Cerkez Kizi Ev Yemekleri,3068293,Kordonboyu Mah. Tekel Cad. No:16
King Point,5171920,Kordonboyu Mah. Ankara Cad. No:92/B
Zuppa Manti,6614777,Rio De Janerio Cad. 3.
Çiğköfteci Ömer Usta,4611171,Yavuztürk Mah. Karadeniz Cad. No:131/D
AUM Pasta Cafe,02163258902,Acibadem Caddesi & Sevket Pasa Sokak
Çiğköfteci Ömer Usta,5460904,Nuri Paşa Mah. 58. Cad. No:110 D:2
Bogazici Kebap Salonu,4250880,Ruzgarlibahce Mah. Yasemin Sok. No:6
Akpinar Gida,3040544,Tepeoren Koyu Mevki Ortin Is Merkezi G Blok No:8
İkizler Tekirdağ Köftecisi,3369264,Bahariye Cad. Süleyman Paşa Sok. No:17
Çiğköfteci Ömer Usta,3243210,İnönü Cad. No:44/B
Çiğköfteci Ömer Usta,2021102,Göksu Cad. No:38
İkram Çiğköfte,2341013,Duatepe Mah. Avukat Cad. No:60/B
Dongel Restaurant,3770625,Hurriyet Mah. Abdi Ipekci Cad. No:43/A
Ustam Kebap Lahmacun Pide Salonu,+(90)212 2161028-29,Sehit ertugrul kabatas cad. no.8/a mecidiyekoy
Çiğköfteci Ömer Usta,4188067,Mandıra Cad. No:131/B
Cafe Blue,380 9858,Can Sok. No. 6 D 1 Kozyatagi
İrten Börek,5455530,Merkez Mah. No:11
Shorba İstanbul,3392706,Acıbadem Mah. Fatih Cad. Tepe Nautilus Alışveriş Merkezi No:1 K:2 Kadıköy
İrten Börek,4182987,Merkez Mah. Ordu Cad. Özdemir Apt. No:17
Titizoglu Iskender,4517444,Hurriyet Mah. Abdi Ipekci Cad. No:25
Pinar Iskembe,3878183,Kordonboyu Mah. Cinar Cad. No:18
Babus Kebap,4524938,Hurriyet Mah. Abdi Ipekci Cad. No:78
Dostlar Kebap Salonu,3871866,Kordonboyu Mah. Hamam Sok. No:65
Elvish Inn,2816282,Büyükdere Cad. Yapı Kredi Plaza C Blok No:2 Beşiktaş
Koylum Cag Kebap,3282501,Istiklal Mah. Talat Pasa Cad. No:89/A
Çiğköfteci Ömer Usta,5982518,Dumlupınar Mah. Kızılırmak Sok. No:3
Nisantasi Ecem Kebap Salonu,2321993,Elhan Sok. No:2
İstanbul Büfe,5936535,Merkez Mah. Reşit Paşa Cad. No:55 D:20
İstanbul Büfe,5307777,İmrahor Mah. İlyasbey Cad. No:65
Saraykapi Sac Tava,852 6868,Cumhuriyet Mah. Hurriyet Cad. No. 5 D 7 Kavakli
Irmak Çiğköfte Kebap,4423183,Çınar Cad. No:7/E
Pasali Kebap & Pide Salonu,3231817,Resitpasa Mah. Posta Yolu No:6
Modi Borek & Ev Yemekleri,3202400,Halide Edip Adivar Cad. No:39/A
Kuzen Kofte,4256425,Kartaltepe Mah. Belediye Cad. No:24
Zengin Cafe,3524833,Belediye Sitesi Menekse 1 Blok
Crepe Land,252 6129,Akyol Cad. Baskurt Sok. No.1 Cihangir
Sena Doner Center,3521263,Zeytinoglu Cad. Dekor Apt. B Blok No:23/B
Ahmedoğulları Et Lokantası,6552209,Cumhuriyet Meydanı No:33 Bağcılar Merkez
İsina Bar Restaurant,7001070,Osman Ağa Mah. Yasa Cad. No:56
Damat Pacasi Restaurant,292 4498,Sahkulu Mah. Galip Dede Cad. Timarci Sok. No. 1/A Galata
Çiğköftem,2501008,Şehit Muhtar Mah. Yeni Tarlabaşı Cad. Pamuk Palas Apt. No:18 D:3 Beyoğlu
İskenderoğlu Kebap,3423598,Maden Mah. Boğaziçi Cad. No:121
Multimekan,2529220,Yeşilçam Sok. No:28 Beyoğlu
Asya Et Lokantası,3458352,Moda Cad. No:19 Kadıköy
Karadeniz Yemekleri Ayder,4958859,Nuh Kuyusu Cad. No:303 D:1 Üsküdar
Joy Food Cafe,3376941,Kurbağalıdere Cad. No:10
Köfteci Ramiz,3440431,Büyükdere Cad. Metrocity Alışveriş Merkezi No:171 K:2 D:224 Beşiktaş
Casita Plus,2652020,Cevdet Pasa Cad. No:15
Urfa Cagri Isot Lahmacun,3992267,Baglarbasi Mah. Feyzullah Cad. No:72
Elazığlı Çiğköfteci Ahmet Usta,5934846,Üniversite Mah. E-5 Yanyol Kalender Sok. No:1
Semiramis 2,2444284,Halil Pasa Sok. Sermet Han K:5 D:21
Ayso Kir Restaurant,7360887,Mimar Sinan Mah. Mimar Sinan Cad. No:8
Cizbiz Kofte,2615858,Muallim Naci Cad. No:16/C
Melisa Bufe,4411978,Baglarbasi Mah. Inonu Cad. No:131
Gul Seren Ev Yemekleri,3833311,Bagdat Cad. Firat Sok. No:9 D:1
Kardesler Pide,0216 4719459,Ferhat Pasa Mah. G-7 Sok. No:37/C
Gaziantepli Kardesler Doner Iskender Salonu,3524154,Baglarbasi Mah. Feyzullah Cad. No:121
Mavi Sofra,6933581,"Mahmutbey Cad. Halkalı Meydanı No:1 Halkalı, Küçükçekmece"
Kivircik Antep Sofrasi,8859984,E-5 Karayolu Yesil Sok. No:739
Joyport,3590131,Dr. Faruk Ayanoglu Cad. No:13
Yildiz Bufe,4574557,Baglarbasi Mah. Feyzullah Cad. No:126/C
Citirti,3701026,Bagdat Cad. Cemalbey Sok. No:5/D
Aktas Kebap,4719715,Ferhat Pasa Mah. Yeditepe Cad. No:39/C
Asmaalti Pide ve Kebap Salonu,4427983,Orhangazi Cad. No:45
Yildiz Bursa Iskender,6393423,Yildirim Beyazit Cad. No:145
Izzeti Ikram,6615614,Ferhat Pasa Mah. Yeditepe Cad. No:28
Yalcin Sulu Yemek,6616566,Ferhat Pasa Mah. Yeditepe Cad. No:21
Gaziantepli Ali Haydar Usta,4254513,Sultan Murat Cad. No:53
Antep Sofrasi,4529693,Merkez Mah. Sanayi Cad. No:25
Sirnazim,4657179,Dunya Ticaret Merkezi K:1 D:103-105
Hanimeli Manti Evi,3523008,Baglarbasi Mah. Inonu Cad. No:84 D:7
Kardesler Pilav Evi,3300893,Caferaga Mah. Sarraf Ali Sok. No:36
Pehlivan Kofte,3461838,Sogutlu Cesme Cad. No:40
Eli Bolca Fast Food,3354878,Alemdag Cad. No:159/F
Gaziantepli Kebap 27,6300027,Kazim Karabekir Mah. Adem Yavuz Cad. No:179
Yesil Bursa Iskender,3257480,Sanayi Mah. Sultan Selim Cad. No:7/D
Meydan Cafe & Restaurant,6120216,Alemdag Cad. No:260
Kumsal Cafe,3463839,Nazmi Akbaci Is Merkezi No:251 K:3
Black Bull Restaurant,8528686,Beylikduzu Mah. E-5 Karayolu
Batu Fastfood,3710666,Baglarbasi Mah. Inonu Cad.
Istanbul Lahmacun,6803222,Ruzgarlibahce Mah. Cumhuriyet Cad. No:75
Sampiyon Bufe,6610231,Akdeniz Cad. No:10
Beyhan Kebap,3712709,Orhangazi Cad. No:65 D:4
Cigkoftem,5023050,Guven Mah. Eski Londra Asfalti Kale Outlet Center No:89 K:-1
Namexpres Kebap,2638699,Kultur Mah. Adnan Saygun Cad. Yaprak Sok. No:5
Manti Keyfi,6023222,Merkez Mah. Tasocagi Cad. No:5
Yagmur Ev Yemekleri,5788565,Cumhuriyet Meydani Emiraga Is Merkezi No:7 D:54-55
Neco Kokorec,4166992,Merv Cad. No:5
Metro Pide,4916139,Bati Mah. 23 Nisan Cad. No:3
Karamanoğlu Aile Et Lokantası,5724026,Değirmen Yolu Cad. Şakirbey Sok. No:7/C Ataşehir Merkez
Piknik,2411363,Güzelbahçe Sok. No:18 D:4 Şişli
Aura Cafe,5476515,Gokalp Mah. 48. Sok. No:30/B
Gaucho,2418585,Halaskargazi Cad. Uzay Apt. No:53
Morina Balık,902125700700,Carousel ArkasI BakIrkoy Zeytinlik Halk
Sandwich Market,2207032,Halil Rifat Pasa Mah. Perpa Ticaret Merkezi A Blok K:5 D:497
Ali Usta Et Lokantası,6986868,Merkez Mah. Mahmut Bey Cad. Burcu İş Hanı No:8 D:37 Halkalı
Cizbiz Kofte,5534242,Guven Mah. Eski Londra Asfalti Kale Outlet Center No:89 K:3
Tadim Pizza,5564001,Guven Mah. Eski Londra Asfalti Kale Outlet Center No:89 K:3
Bursa Kebap Evi,5020287,Guven Mah. Eski Londra Asfalti Kale Outlet Center No:89 K:3
Yem Büfe,4251955,"Okul Cad. No:12 D:1 Kavacık, Beykoz"
Bereket Doner,5020711,Guven Mah. Eski Londra Asfalti Kale Outlet Center No:89 K:3
Reba,4323084,75. Yil Cad. No:71
Mekan-ı İşba,5288461,Kömürcü Bekir Sok. Şapçı Han No:2 Fatih
Şafak Et Lokantası,6212704,Salih Paşa Cad. No:1 Fatih
Kalyenci Et Lokantası,6370123,"Keresteciler Sitesi Kayalar Sok. D:13 Merter, Güngören"
Arsamiea Çiğköfte,2501182,Küçük Piyale Mah. Kızılay Meydanı Fırın Sok. No:6 Beyoğlu
Gunaydin Kofte & Doner,6701232,Kaynarca Mah. E-5 Karayolu Tersane Kavsagi Elka Sok. NeoMarin Alisveris Merkezi No:9 K:2 D:G03
Hünkar Et Lokantası,6211231,"Eski Ankara Cad. No:37 Sarıgazi, Sancaktepe"
Chipstix,5852999,Istiklal Cad. Nevizade Sok.
Domino's Pizza,4786565,Kozyatagi Mah. Inonu Cad. Mor Yayla Apt. No:38/B
Domino's Pizza,3206418,Kaptan Pasa Mah. Darulaceze Cad. Famas Is Merkezi A Blok No:43/B
Bayramoglu Ziyafet Sofrasi,5264556,Nato Yolu Cad. No:213
Taze Taze Restaurant,4255805,Yavuz Selim Cad. No:3
Dedeoğlu Et Lokantası,4615011,Merkez Mah. 25/4 Sok. No:31 Bağcılar Merkez
Mest,2290382,Resit Pasa Mah. Tuncay Artun Cad. Salih Bey Sok. No:4
Sark Durum,4710777,YEDPA Ticaret Merkezi G Cad. D:Rk4
Pexmet,4118004,Iskele Sok. No:15/B
Bastille,2455904,Cezayir Sok. No:9/A
Le Bistro De Lucy,2445183,Cezayir Sok. No:16/A
Harman,3852633,Tutuncu Mehmet Efendi Cad. Yoruk Apt. No:74/D
Öz Saray İskender Kebap ve Lahmacun Salonu,5624763,Çınar Mah. Esenler Cad. No:25/A Bağcılar Merkez
Canberk Sofrasi,2505305,Taksim Cad. No:73
Celebi Lahmacun,2339844,Sezai Selek Sok. No:3/A
Pafuli Burger,434 2707,20/A Sok. No. 2/C
Arzum Yemek ve Kahvaltı Salonu,3191019,"Şehit Mehmet Ali Şener Cad. No:28/E Riva Köyü, Beykoz"
Saray Dürüm Evi,6226899,"Merkez Mah. Eski Ankara Cad. No:98/A Sarıgazi, Sancaktepe"
Çiğköftem,5453399,Karaali Çeşme Mevki E-5 Karayolu Maxi Alisveris Merkezi K:Zemin
Cigkoftem,"
",OSB Ataturk Bulv. Happy Center No:206
Cafe Turc,2700027,Emlak Bankası Blokları C1 Blok D:2 Beşiktaş
McDonald's,6023062,Merkez Mah. Tasocagi Cad. 212 Istanbul Power Outlet No:5 K:2 D:210
Emir Karadeniz Pide,5530652,"Hayrettin Çavuş Mah. Eski Toptaşı Cad. No:3/A Zeynep Kamil, Üsküdar"
Kivircik Antep Sofrasi,8858868,Bostan Sok. No:135
Sampi,3505454,Inonu Cad. Sinan Sok. No:34/A
Anadoluca Kebap,4425233,Fetih Cad. No:62 Bahçelievler
Sampi,5419022,Yildiz Bakkal Mah. Acibadem Cad. No:11/A
Cagi Pide Lavaş,5035815,Fatih Cad. No:1/A Bahçelievler
Sampi,5094848,Dr. Sadik Ahmet Cad. No:139
Sampi,6449923,Eski Londra Asfalti M1 Meydan Alisveris Merkezi No:5 K:2
Cigkoftem,8712990,Cumhuriyet Mah. Camlik Cad. No:1 D:2
Yenişehir Balık Lokantası,5231000,"Cumhuriyet Mah. Esat Paşa Cad. No:11/B Bulgurlu, Üsküdar"
Komagene,5744300,Fevzi Pasa Cad. No:1/G
Little Caesars,2683809,Nispetiye Mah. Aytar Cad. Dilek Apt. No:28
Komagene,3405534,Acibadem Mah. Acibadem Cad. No:113/B
Kardeşler 2 Et Lokantası,5271753,Akyazılı Cad. No:43 Ataşehir
Püren Kebap,5423475,"Osmaniye Mah. Cemiyet Sok. Şencan Apt. No:59 K:2 D:1 Kartaltepe, Bakırköy"
Cigkoftem,3290555,Sutcu Imam Cad. No:38/A
Sbarro,2742837,Buyukdere Cad. No:86/A
Cigkoftem,5323264,Hayrettincavus Mah. Dr. Fahri Atabey Cad. No:17/A
Osmanlı Sofrası,4628635,"İstanbul Cad. No:4 Bağcılar Merkez, Bağcılar"
Cigkoftem,3157543,Libadiye Cad. No:117/C
Tensara Ev Yemekleri,5732680,Ümraniye Mah. İstasyon Cad. Bakırköy
Pan Cig Kofte,3960116,Aydinli Cad. No:27/B
Esnaf Lokantası,6700612,Keresteciler Sanayi Sitesi Cami Pasajı D:41 Başakşehir
Cigkoftem,2363630,Mecidiye Mah. Dereboyu Cad. No:119/A
Arsamiea Çiğköfte,5270374,Sabuncuhan Cad. Sabuncu Han No:23 D:1 Fatih
Konyalı Et Lokantası,6598495,İSTOÇ Sanayi Sitesi 11. Ada D:21 Bağcılar
Şanlı Çiğköfte,6966245,Atatürk Mah. İkitelli Cad. 5. Sok. No:162 D:1 Başakşehir
Güloğlu Et Lokantası,6980323,"Atatürk Mah. İkitelli Cad. No:234 İkitelli, Başakşehir"
Özlem Et Lokantası,6970112,Atatürk Mah. İkitelli Cad. No:6 Başakşehir
Cigkoftem,5995327,Hurriyet Cad. No:22/C
Hosta Piknik,6641309,Istiklal Sok. Optimum Outlet ve Eglence Merkezi No:10 K:3 D:157
Diyar Köfte Salonu,5833781,Filiz Sok. No:21 D:1 Bakırköy
Sbarro,5799764,Tevfik Bey Mah. Halkali Cad. ArmoniPark Outlet Center No:132 K:2
Yeni Siteler Kebap ve Lahmacun Salonu,5700209,Terakki Cad. No:76 D:1 Bakırköy
Caffe La Notte,3624053,"Bağdat Cad. Çınarlı Sok. No:4 Suadiye, Kadıköy"
Zumrutevler Pide,4279629,Tulin Cad. No:37
Karadeniz Telliler Lokantası,6533694,Yıldırım Beyazıt Cad. No:1 D:3 Bahçelievler
Komagene,6423000,Mustafa Kemal Pasa Cad. No:40
Cigkoftem,6718866,Atakent Mah. 5. Cad. Happy Center No:4
Sempati Lokantası,6514687,Mahmutbey Yolu No:36 Bağcılar
Komagene,3845102,Besyol Mah. Aydin Universitesi Florya Yerleskesi Inonu Cad. D Blok No:40 K:Zemin
Ali Dayı Et Lokantası,6600083,Osmaniye Mah. İncirli Çıkmazı No:9 D:1 Bakırköy
Develi Kardeşler Pide,6592238,İSTOÇ Sanayi Sitesi 7. Ada D:40 Bağcılar
Ali Efendi Lokantası,6591679,İSTOÇ Sanayi Sitesi 6. Ada D:19 Bağcılar
Cigkoftem,6023827,Merkez Mah. Tasocagi Cad. 212 Istanbul Power Outlet No:5
Cigkoftem,"
",2. Kisim 209 Ada 3. Parsel Selale Cad. Onur Hipermarket No:123
Bereket Doner,4864361,Nato Yolu Maxi City Alisveris Merkezi K:2
Tadım Lokantası,6700410,Keresteciler Sitesi 21. Sok. 22. Blok D:16 Başakşehir
Pad-Sos,2453979,Evliya Çelebi Mah. İstiklal Cad. No:94 Beyoğlu
Kervansaray Kelle Paça Salonu,6521643,Yıldırım Beyazıt Cad. No:212 Bahçelievler
Bereket Doner,6983273,Ataturk Mah. Ikitelli Cad. No:189
Merkez Lokantası,5526135,Çobançeşme Mah. Mithat Paşa Cad. No:102 Bahçelievler
Cigkoftem,5453553,Baglarbasi Mah. Baglarbasi Cad. No:55 D:1/A
Sbarro,4416054,CarrefourSA K:2 D:136
Ora Steak & Burgers,+(90)216 474 99 49,"Mahir Iz Caddesi, Aka Gunduz Sokak, No:22"
Beyaz Saray Et Lokantası,5155880,Merkez Mah. Kirazlı Cad. No:56/A Bağcılar
Şafak Lokantası,4524764,Yıldırım Beyazıt Cad. No:62 Bahçelievler
Oba Kebap,6534174,Hürriyet Mah. Hürriyet Cad. No:31 D:1 Bahçelievler
Bereket Doner,5316030,Fevzi Pasa Cad. No:40
Adana Dürümcüsü Hasan Usta,6599759,İSTOÇ Sanayi Sitesi 19. Ada D:84 Bağcılar
Kardeşler Lokantası,5494631,OSB Esot Sanayi Sanayi Sitesi D Blok D:1 Başakşehir
Bereket Doner,6561855,Evren Cad. Hayatpark Alisveris ve Yasam Merkezi No:111
Cesa Cigkofte,8813231,Ataturk Mah. Gazi Mustafa Kemal Cad. Guray Apt. No:73
Doy Doy Kokoreç ve Dürüm Evi,4707117,Atatürk Mah. Halkalı Cad. No:13/B Halkalı
Cesa Cigkofte,8805991,Adnan Kahveci Mah. Istanbul Cad. No:4
Sema Sultan,5638761,Merkez Mah. Cumhuriyet Meydani No:20
Gell,2720572,"Büyükdere Cad. Raşit Rıza Sok. No:10 Mecidiyeköy, Şişli"
Saray Et Lokantası,5496059,OSB Metal İş Sanayi Sitesi 4. Blok D:21 Başakşehir
Yayla,3056995,Ataturk Cad. No:14
Dideban Et Lokantası,6593131,İSTOÇ Sanayi Sitesi 5. Ada D:90 Bağcılar
Elit Eyvan Pide,4660316,Serifali Mah. Doganevler Cad. No:48
Cat Cat Bufe,5187278,Girne Mah. Nergiz Sok. No:8
Bereket Doner,3585468,Hisarustu Mah. Cami Sok. No:12
Bereket Doner,6311648,Feraizci Sok. Malta Pasaji D:15
Cesa Cigkofte,8610342,Ulus Mah. Ataturk Cad. No:13
Cesa Cigkofte,6140101,Eski Edirne Asfalti No:138/B
Cesa Cigkofte,7891585,Ferhat Pasa Mah. Tevfik Erdonmez Cad. No:7/B
Cesa Cigkofte,7710900,Hastane Mah. Sehitlik Cad. No:27
Cesa Cigkofte,7275770,Piri Mehmet Pasa Mah. Ali Cetinkaya Cad. No:3
Domino's Pizza,6692606,2. Kisim Mah. Baris Sok. Hillpark Carsisi 5/14 Blok
Hacioglu,5173100,Circir Sok. Ayyildizlar Is Hani No:1
Domino's Pizza,6092909,Eski Edirne Asfalti Cad. No:329
Hacioglu,4256532,Tevfik Bey Mah. Halkali Cad. ArmoniPark Outlet Center No:132 K:2
Oses Çiğköftecisi,5545466,"Soğanlı Mah. Rehber Cad. No:15/A Soğanlı, Bahçelievler"
Domino's Pizza,4342828,Yavuz Selim Mah. Birlik Cad. No:27/A
Kebapci Iskender,4253200,Funda Sok. No:9
Domino's Pizza,6342099,Inkilap Mah. Kucuksu Cad. No:117
Kahta Cig Koftecisi Bilal Usta,6674337,Cebeci Mah. Ataturk Bulv. No:99/A
Antep Sofrasi,5626285,Cinar Mah. 17. Sok. No:38/B
Kahta Cig Koftecisi Bilal Usta,7242577,Cebeci Mah. 2486. Sok. No:42
Samasota,8769776,Beylikduzu Mah. 2. Kisim Ihlas Marmara Evleri
Oses Cig Kofteci Osman Usta,4936225,Orhangazi Mah. Vatan Cad. No:38/A
Domino's Pizza,5798855,Kartaltepe Mah. Halkali Cad. No:88
Domino's Pizza,2702606,Eski Buyukdere Asfalti Fatih Cad. No:27
Meshur Adiyaman Cig Koftecisi Omer Usta,5735777,Kucukbakkalkoy Mah. Kayisdagi Cad. No:63
Domino's Pizza,6174949,Yesil Pinar Karayollari Mah. Abdi Ipekci Cad. No:13 K:Zemin D:2-3
Kismet Doner,3760503,Tulin Cad. No:71
Meshur Adiyaman Cig Koftecisi Omer Usta,2263585,Merkez Mah. Adnan Menderes Cad. Ege Apt. No:19/C
Oses Cig Kofteci Osman Usta,4701636,Mahmutbey Cad. No:11
Oses Cig Kofteci Osman Usta,7289994,Alibey Mah. Ali Cetinkaya Cad. No:85 D:1
Oses Cig Kofteci Osman Usta,5739776,Senlikoy Mah. Florya Asfalti No:42 D:3
Meshur Adiyaman Cig Koftecisi Omer Usta,5550776,"Emin Ali Paşa Cad. Yuvam Apt. No:12/B Bostancı, Kadıköy"
Oses Cig Kofteci Osman Usta,5158607,Fevzi Cakmak Mah. Ataturk Cad. Yasemin Konaklari A/2 Blok D:C1
